정류장ID,정류장명,정류장번호,위도,경도
JUB312101749,묵계,31748,35.92442736,127.3061813
JUB312101964,문장마을,31963,35.99215504,127.1421056
JUB312101965,문장마을,31964,35.9922916,127.141642
JUB305132106,문정마을,32106,35.77781936,127.1279211
JUB305132107,문정마을,32107,35.77799535,127.127333
JUB305132108,문정초교,32108,35.7751079,127.1281277
JUB305132109,문정초교,32109,35.77512521,127.1280279
JUB312032713,미남마을,36047,36.0575998,127.2269885
JUB312032714,미남마을,36048,36.0574192,127.2268892
JUB306101119,미래페이퍼,31118,35.84963192,127.0847267
JUB306101121,미래페이퍼,31120,35.84963967,127.0853236
JUB306101515,미산초교,31514,35.8829579,127.1097807
JUB306101516,미산초교,31515,35.88305057,127.1093607
JUB306101517,미산초교,31516,35.8832535,127.109426
JUB306101519,미산초교,31518,35.8829105,127.1092948
JUB312032715,미서마을,36049,36.0601907,127.2245478
JUB312032716,미서마을,36050,36.0600201,127.224826
JUB312100065,미치마을,30065,35.70130439,127.090736
JUB312100066,미치마을,30066,35.70150085,127.0910411
JUB312100569,민목리,30569,35.81224098,127.25296
JUB312100570,민목리,30570,35.8122872,127.2526613
JUB305032516,반곡삼거리,36450,35.8442,127.2869788
JUB305032517,반곡삼거리,36451,35.844155,127.2870177
JUB312101060,반교리,31059,35.84406917,127.0312798
JUB312101061,반교리,31060,35.84409633,127.0311294
JUB306101423,반월동 삼오아파트,31422,35.87385833,127.0701377
JUB306101426,반월동 삼오아파트,31425,35.8741509,127.0701631
JUB305032290,반월동농협,32290,35.87402808,127.0640669
JUB305032291,반월동농협,32291,35.87422617,127.0640424
JUB306101421,반월주공아파트.오네뜨아파트,31420,35.87383249,127.0726102
JUB306101425,반월주공아파트.오네뜨아파트,31424,35.87412321,127.072459
JUB306101450,반월초교,31449,35.87566609,127.0757897
JUB306101462,반월초교,31461,35.87625094,127.0757298
JUB306101395,발단마을,31394,35.8713261,127.114969
JUB306101403,발단마을,31402,35.8714139,127.1148112
JUB312101502,밤티마을,31501,35.87992166,127.3108542
JUB312101505,밤티마을,31504,35.88042722,127.3108274
JUB312101973,방곡마을,31972,36.00467973,127.1364056
JUB312101974,방곡마을,31973,36.00473908,127.1361088
JUB306101327,방죽안마을,31326,35.8650958,127.0277449
JUB306101329,방죽안마을,31328,35.86518307,127.0276018
JUB306101033,배나무골,31032,35.84124683,127.1386896
JUB305032478,배매산,36412,35.9508351,127.1256453
JUB305032479,배매산,36413,35.9488863,127.1252221
JUB306101375,배미실새터,31374,35.86891125,127.159621
JUB306101377,배미실새터,31376,35.86917369,127.1597319
